grep -inr --color -e "opening JDBC connection" -e "releasing JDBC connection" .

2015-09-05 17:55:34,629 | DEBUG | xdc-db-1-thread-1 | Registering Spring transaction synchronization for LobCreator [ Method: org.springframework.jdbc.support.lob.LobCreatorUtils.registerTransactionSynchronization:59 ]
2015-09-05 17:55:34,632 | DEBUG | xdc-db-1-thread-1 | Set bytes for BLOB with length 232 [ Method: org.springframework.jdbc.support.lob.DefaultLobHandler$DefaultLobCreator.setBlobAsBytes:231 ]
2015-09-05 17:55:34,632 | DEBUG | xdc-db-1-thread-1 | Registering Spring transaction synchronization for LobCreator [ Method: org.springframework.jdbc.support.lob.LobCreatorUtils.registerTransactionSynchronization:59 ]
2015-09-05 17:55:34,632 | DEBUG | xdc-db-1-thread-1 | Set bytes for BLOB with length 1234 [ Method: org.springframework.jdbc.support.lob.DefaultLobHandler$DefaultLobCreator.setBlobAsBytes:231 ]
2015-09-05 17:55:34,632 | DEBUG | xdc-db-1-thread-1 | Registering Spring transaction synchronization for LobCreator [ Method: org.springframework.jdbc.support.lob.LobCreatorUtils.registerTransactionSynchronization:59 ]
2015-09-05 17:55:34,635 | DEBUG | xdc-db-1-thread-1 | Pre-invalidating space [test.Student] [ Method: org.hibernate.cache.UpdateTimestampsCache.preinvalidate:71 ]
2015-09-05 17:55:34,636 | DEBUG | xdc-db-1-thread-1 | reusing prepared statement [ Method: org.hibernate.jdbc.AbstractBatcher.prepareBatchStatement:248 ]
2015-09-05 17:55:34,636 | DEBUG | xdc-db-1-thread-1 | insert into test.Student (age, content, extProperties, image, name, id) values (?, ?, ?, ?, ?, ?) [ Method: org.hibernate.jdbc.util.SQLStatementLogger.logStatement:111 ]
2015-09-05 17:55:34,636 | DEBUG | xdc-db-1-thread-1 | Set string for CLOB with length 9 [ Method: org.springframework.jdbc.support.lob.DefaultLobHandler$DefaultLobCreator.setClobAsString:288 ]
2015-09-05 17:55:34,636 | DEBUG | xdc-db-1-thread-1 | Registering Spring transaction synchronization for LobCreator [ Method: org.springframework.jdbc.support.lob.LobCreatorUtils.registerTransactionSynchronization:59 ]
2015-09-05 17:55:34,637 | DEBUG | xdc-db-1-thread-1 | Set bytes for BLOB with length 232 [ Method: org.springframework.jdbc.support.lob.DefaultLobHandler$DefaultLobCreator.setBlobAsBytes:231 ]
2015-09-05 17:55:34,637 | DEBUG | xdc-db-1-thread-1 | Registering Spring transaction synchronization for LobCreator [ Method: org.springframework.jdbc.support.lob.LobCreatorUtils.registerTransactionSynchronization:59 ]
