2013-06-18 00:59:40,405 | DEBUG | main | org.hibernate.validator.ValidationMessages found. [ Method: org.hibernate.validator.resourceloading.PlatformResourceBundleLocator.getResourceBundle(PlatformResourceBundleLocator.java:69) ] 
2013-06-18 00:59:40,417 | DEBUG | main | ValidationMessages not found. [ Method: org.hibernate.validator.resourceloading.PlatformResourceBundleLocator.getResourceBundle(PlatformResourceBundleLocator.java:72) ] 
2013-06-18 00:59:40,418 | DEBUG | main | org.hibernate.validator.ValidationMessages found. [ Method: org.hibernate.validator.resourceloading.PlatformResourceBundleLocator.getResourceBundle(PlatformResourceBundleLocator.java:69) ] 
2013-06-18 00:59:50,400 | DEBUG | main | Logging Provider: org.jboss.logging.Log4jLoggerProvider [ Method: org.hibernate.validator.internal.util.logging.LoggerFactory.make(LoggerFactory.java:29) ] 
2013-06-18 00:59:50,408 | INFO  | main | HV000001: Hibernate Validator 5.0.1.Final [ Method: org.hibernate.validator.internal.util.Version.<clinit>(Version.java:27) ] 
2013-06-18 00:59:50,430 | DEBUG | main | Cannot find javax.persistence.Persistence on classpath. Assuming non JPA 2 environment. All properties will per default be traversable. [ Method: org.hibernate.validator.internal.engine.resolver.DefaultTraversableResolver.detectJPA(DefaultTraversableResolver.java:74) ] 
2013-06-18 00:59:50,437 | DEBUG | main | Trying to load META-INF/validation.xml for XML based Validator configuration. [ Method: org.hibernate.validator.internal.xml.ValidationXmlParser.getInputStream(ValidationXmlParser.java:88) ] 
2013-06-18 00:59:50,444 | DEBUG | main | No META-INF/validation.xml found. Using annotation based configuration only. [ Method: org.hibernate.validator.internal.xml.ValidationXmlParser.getInputStream(ValidationXmlParser.java:95) ] 
2013-06-18 00:59:50,597 | DEBUG | main | ValidationMessages not found. [ Method: org.hibernate.validator.resourceloading.PlatformResourceBundleLocator.getResourceBundle(PlatformResourceBundleLocator.java:72) ] 
2013-06-18 00:59:50,600 | DEBUG | main | org.hibernate.validator.ValidationMessages found. [ Method: org.hibernate.validator.resourceloading.PlatformResourceBundleLocator.getResourceBundle(PlatformResourceBundleLocator.java:69) ] 
2013-06-18 00:59:50,611 | DEBUG | main | ValidationMessages not found. [ Method: org.hibernate.validator.resourceloading.PlatformResourceBundleLocator.getResourceBundle(PlatformResourceBundleLocator.java:72) ] 
2013-06-18 00:59:50,611 | DEBUG | main | org.hibernate.validator.ValidationMessages found. [ Method: org.hibernate.validator.resourceloading.PlatformResourceBundleLocator.getResourceBundle(PlatformResourceBundleLocator.java:69) ] 
2013-06-18 00:59:50,611 | DEBUG | main | ValidationMessages not found. [ Method: org.hibernate.validator.resourceloading.PlatformResourceBundleLocator.getResourceBundle(PlatformResourceBundleLocator.java:72) ] 
2013-06-18 00:59:50,612 | DEBUG | main | org.hibernate.validator.ValidationMessages found. [ Method: org.hibernate.validator.resourceloading.PlatformResourceBundleLocator.getResourceBundle(PlatformResourceBundleLocator.java:69) ] 
2013-06-18 01:00:15,550 | DEBUG | main | Logging Provider: org.jboss.logging.Log4jLoggerProvider [ Method: org.hibernate.validator.internal.util.logging.LoggerFactory.make(LoggerFactory.java:29) ] 
2013-06-18 01:00:15,556 | INFO  | main | HV000001: Hibernate Validator 5.0.1.Final [ Method: org.hibernate.validator.internal.util.Version.<clinit>(Version.java:27) ] 
2013-06-18 01:00:15,574 | DEBUG | main | Cannot find javax.persistence.Persistence on classpath. Assuming non JPA 2 environment. All properties will per default be traversable. [ Method: org.hibernate.validator.internal.engine.resolver.DefaultTraversableResolver.detectJPA(DefaultTraversableResolver.java:74) ] 
2013-06-18 01:00:15,581 | DEBUG | main | Trying to load META-INF/validation.xml for XML based Validator configuration. [ Method: org.hibernate.validator.internal.xml.ValidationXmlParser.getInputStream(ValidationXmlParser.java:88) ] 
2013-06-18 01:00:15,588 | DEBUG | main | No META-INF/validation.xml found. Using annotation based configuration only. [ Method: org.hibernate.validator.internal.xml.ValidationXmlParser.getInputStream(ValidationXmlParser.java:95) ] 
2013-06-18 01:00:15,736 | DEBUG | main | ValidationMessages not found. [ Method: org.hibernate.validator.resourceloading.PlatformResourceBundleLocator.getResourceBundle(PlatformResourceBundleLocator.java:72) ] 
2013-06-18 01:00:15,740 | DEBUG | main | org.hibernate.validator.ValidationMessages found. [ Method: org.hibernate.validator.resourceloading.PlatformResourceBundleLocator.getResourceBundle(PlatformResourceBundleLocator.java:69) ] 
2013-06-18 01:00:15,756 | DEBUG | main | ValidationMessages not found. [ Method: org.hibernate.validator.resourceloading.PlatformResourceBundleLocator.getResourceBundle(PlatformResourceBundleLocator.java:72) ] 
2013-06-18 01:00:15,757 | DEBUG | main | org.hibernate.validator.ValidationMessages found. [ Method: org.hibernate.validator.resourceloading.PlatformResourceBundleLocator.getResourceBundle(PlatformResourceBundleLocator.java:69) ] 
2013-06-18 01:00:15,768 | DEBUG | main | ValidationMessages not found. [ Method: org.hibernate.validator.resourceloading.PlatformResourceBundleLocator.getResourceBundle(PlatformResourceBundleLocator.java:72) ] 
2013-06-18 01:00:15,768 | DEBUG | main | org.hibernate.validator.ValidationMessages found. [ Method: org.hibernate.validator.resourceloading.PlatformResourceBundleLocator.getResourceBundle(PlatformResourceBundleLocator.java:69) ] 
